state_name,district_name,Total No. of JobCards issued,Total No. of Workers,Total No. of Active Job Cards,Total No. of Active Workers,SC workers against active workers,ST workers against active workers,Approved Labour Budget,Persondays of Central Liability so far,SC persondays,ST persondays,Women Persondays,Average days of employment provided per Household,Average Wage rate per day per person(Rs.),Total No of HHs completed 100 Days of Wage Employment,Total Households Worked,Total Individuals Worked,Differently abled persons worked,Number of GPs with NIL exp,Total No. of Works Takenup (New+Spill Over),Number of Ongoing Works,Number of Completed Works,% of NRM Expenditure(Public + Individual),% of Category B Works,% of Expenditure on Agriculture & Agriculture Allied Works,Total Exp(Rs. in Lakhs.),Wages(Rs. In Lakhs),Material and skilled Wages(Rs. In Lakhs),Total Adm Expenditure (Rs. in Lakhs.),State_ID,State_Record_Count,District_ID,District_Record_Count,State_District_Count,Workers_Log,Workers_Missing_Flag,State_Total_Workers,State_Average_Workers,Worker_Share_of_State,Expenditure_Log,Expenditure_Missing_Flag,State_Total_Expenditure,State_Average_Expenditure,Expenditure_Share_of_State,Wage_Log,Wage_Missing_Flag,Expenditure_Per_Worker_Lakhs,Expenditure_Per_Worker_Rs,Workers_Per_Expenditure_Lakh,Worker_Wage_Ratio,Expenditure_Wage_Ratio,Wage_Category,Expenditure_Category,Worker_Category,Workers_Outlier_Flag,Expenditure_Outlier_Flag,Wage_Outlier_Flag,Workers_vs_State_Median,Expenditure_vs_State_Median,Wage_vs_State_Median,Total_Missing_Values_Per_Row,Total_Available_Values_Per_Row,Missing_Value_Percentage_Per_Row
andaman and nicobar,nicobars,6173,9866,1007,2011,0,1678,34000,5046,0,4325,1536,28,108.4042806,0,180,201,0,9,172,172,0,95.68,5,4.32,5.47008,5.47008,0.0,0.0,0,3,479,1,3,9.196951134857168,0,56857,18952.333333333332,17.352304905288708,1.867188473196799,0,252.6374017,84.21246723333333,2.165190095841617,4.695050017193151,0,0.0005544374619906751,55.443746199067505,1803.6299286299286,91.0111662140397,0.050460000008523645,Below Median Wage,Below Median Expenditure,Below Median Workers,0,0,1,-7625.0,-73.73074,-425.38162810000006,0,62,0.0
andaman and nicobar,north and middle andaman,18521,29500,6477,11920,0,0,76000,30487,0,0,18949,22,533.7859087,9,1348,1592,5,0,532,458,74,43.53,41,29.34,167.9665017,162.73531,5.2311917,0.0,0,3,484,1,3,10.292179440058462,0,56857,18952.333333333332,51.884552473749935,5.1297004804830255,0,252.6374017,84.21246723333333,66.48520787886176,6.2818664961521575,0,0.005693779718644068,569.3779718644068,175.63025782777257,55.26560278042049,0.3146701682497974,At or Above Median Wage,Below Median Expenditure,Below Median Workers,0,0,1,12009.0,88.76568170000002,0.0,0,62,0.0
andaman and nicobar,south andaman,13726,17491,3420,5016,0,0,40000,4522,0,0,3254,8,1661.345865,0,508,545,1,3,401,174,227,14.1,44,16.5,79.20082,75.12606,1.37476,2.7,0,3,636,1,3,9.76949891253281,0,56857,18952.333333333332,30.76314262096136,4.384533739259102,0,252.6374017,84.21246723333333,31.349602025296637,7.4159850554499585,0,0.00452808987479275,452.808987479275,220.84367308318275,10.52821111394526,0.04767268614473603,At or Above Median Wage,Below Median Expenditure,Below Median Workers,0,0,1,0.0,0.0,1127.5599563,0,62,0.0
andhra pradesh,srikakulam,445787,743762,384349,680409,62310,39751,16700000,15568613,1441624,999393,10970657,48,252.668258,9020,322730,472005,6785,4,65095,47441,17654,77.36,58,14.91,50704.06827,39336.94327,10037.24663,1329.87838,1,26,645,1,26,13.519477714680818,0,12380375,476168.26923076925,6.00758862312329,10.833781150460732,0,680813.686349,26185.141782653845,7.4475688850955315,5.536027342498472,0,0.06817243724471,6817.243724471001,14.668684888152466,2943.630537081551,200.67446806080406,At or Above Median Wage,At or Above Median Expenditure,At or Above Median Workers,0,1,0,277021.5,26079.094935,7.060124700000017,0,62,0.0
andhra pradesh,vizianagaram,388651,694622,350587,648430,76009,18149,16800000,15501082,1706793,399666,10691627,50,241.337534,1938,306284,468189,7667,1,62481,49931,12550,84.58,58,5.32,48338.74775,37409.92904,9966.570016,962.2487,1,26,714,1,26,13.451124531326682,0,12380375,476168.26923076925,5.61067011298123,10.7860094359981,0,680813.686349,26185.141782653845,7.100143360693326,5.490331522965517,0,0.06959000398778041,6959.000398778041,14.369879906539365,2878.217857318456,200.29519216849212,At or Above Median Wage,At or Above Median Expenditure,At or Above Median Workers,0,1,0,227881.5,23713.774415,-4.270599299999986,0,62,0.0
andhra pradesh,visakhapatanam,39211,58514,32447,51975,4691,518,1400000,1220411,97829,8429,884231,46,257.1238881,407,25980,36667,211,6,5992,4912,1080,86.39,63,7.43,4033.530908,3137.968213,651.2459846,244.31671,1,26,713,1,26,10.977038410608866,0,12380375,476168.26923076925,0.47263511808002584,8.302645318183743,0,680813.686349,26185.141782653845,0.5924573769412039,5.553439656103114,0,0.06893274956420686,6893.274956420686,14.506892679053198,227.57123203287466,15.68711074574016,At or Above Median Wage,Below Median Expenditure,Below Median Workers,0,0,0,-408226.5,-20591.442427,11.515754799999996,0,62,0.0
andhra pradesh,east godavari,187579,284271,123935,202387,77883,3123,4800000,3704465,1430000,72282,2040186,42,235.6403451,864,87616,117601,1890,0,29651,25294,4357,44.2,48,40.72,13340.33911,8729.214109,4301.666551,309.45845,1,26,184,1,26,12.557686805275686,0,12380375,476168.26923076925,2.2961420797027556,9.498622697490044,0,680813.686349,26185.141782653845,1.9594698781013418,5.46654145729476,0,0.046928244914184,4692.8244914184,21.309128475370517,1206.3766070252627,56.613136873223844,Below Median Wage,At or Above Median Expenditure,Below Median Workers,0,0,0,-182469.5,-11284.634225000002,-9.967788200000001,0,62,0.0
andhra pradesh,west godavari,178641,284350,125121,218198,58884,1527,3400000,3124054,903959,23318,1767710,34,239.0933496,477,91073,134626,1297,3,36170,30843,5327,5.86,47,74.03,11250.73005,7469.405352,3511.37866,269.94604,1,26,721,1,26,12.557964669521446,0,12380375,476168.26923076925,2.2967801863836916,9.328277178031515,0,680813.686349,26185.141782653845,1.6525416976169056,5.481027804384623,0,0.03956648514155091,3956.6485141550907,25.27391544693582,1189.284438382388,47.05580506033447,Below Median Wage,At or Above Median Expenditure,Below Median Workers,0,0,0,-182390.5,-13374.243285000002,-6.514783699999981,0,62,0.0
andhra pradesh,krishna,220268,379780,170492,317990,118610,5102,6900000,6330742,2405410,94001,3377645,42,253.0840774,7567,147795,254066,2414,0,63586,53533,10053,9.19,29,78.51,21586.41516,16022.09998,4933.682752,630.63243,1,26,369,1,26,12.847350049779317,0,12380375,476168.26923076925,3.0675969023555427,9.979865792395097,0,680813.686349,26185.141782653845,3.170678791103846,5.537665225631519,0,0.056839262625730684,5683.926262573068,17.593472430926784,1500.6080346957456,85.29345418235307,At or Above Median Wage,At or Above Median Expenditure,At or Above Median Workers,0,0,0,-86960.5,-3038.558175000002,7.475944100000021,0,62,0.0
andhra pradesh,guntur,134904,218949,85047,150682,70756,4732,2900000,2695339,1254571,79598,1543985,39,244.1571507,1843,68081,112014,805,23,24785,21535,3250,2.96,32,83.2,9102.121961,6580.862905,2176.509426,344.74963,1,26,231,1,26,12.296598672229544,0,12380375,476168.26923076925,1.7685167048655632,9.116372706306343,0,680813.686349,26185.141782653845,1.3369475590028097,5.501899436344086,0,0.041571881858332306,4157.188185833231,24.054720529798885,896.7544033515788,37.27976811207111,At or Above Median Wage,At or Above Median Expenditure,Below Median Workers,0,0,0,-247791.5,-15522.851374000002,-1.4509826000000032,0,62,0.0
andhra pradesh,prakasam,456805,831178,392018,752056,209855,22186,15000000,14195476,3308877,398509,7989493,47,224.2594498,6223,300700,525993,4453,9,48916,43149,5767,75.71,35,11.38,44477.72011,31834.69637,11398.09676,1244.92698,1,26,526,1,26,13.630600453770423,0,12380375,476168.26923076925,6.713673858828993,10.702766154005074,0,680813.686349,26185.141782653845,6.533023792239064,5.417252848105691,0,0.05351166670677039,5351.166670677039,18.68751361230687,3706.323192807548,198.33153140109061,Below Median Wage,At or Above Median Expenditure,At or Above Median Workers,0,1,0,364437.5,19852.746775,-21.348683499999993,0,62,0.0
andhra pradesh,nellore,352016,587920,263013,462273,136815,26497,9500000,9203417,2579226,474277,5705072,44,258.5343037,7477,205411,302701,2267,4,58230,48011,10219,52.78,27,32.7,38395.69359,23793.99006,13734.45603,867.2475,1,26,478,1,26,13.284347864112995,0,12380375,476168.26923076925,4.748806074129418,10.555726630441535,0,680813.686349,26185.141782653845,5.639677104011322,5.558888885391572,0,0.0653076840216356,6530.7684021635605,15.312133862666341,2274.05025788073,148.51295569099366,At or Above Median Wage,At or Above Median Expenditure,At or Above Median Workers,0,1,0,121179.5,13770.720255,12.926170400000018,0,62,0.0
andhra pradesh,chittoor,266398,474363,207297,385619,112194,13067,7000000,5881852,1855550,199486,3582940,45,253.9152479,4455,130100,202219,2346,2,75160,58182,16978,30.1,69,49.35,22598.82456,14934.91909,6882.526697,781.37878,1,26,135,1,26,13.06973023845738,0,12380375,476168.26923076925,3.831572145431782,10.025697422398387,0,680813.686349,26185.141782653845,3.3193845854055515,5.540931128737738,0,0.047640360989368906,4764.036098936891,20.990605008705813,1868.1942259206876,89.00144732111616,At or Above Median Wage,At or Above Median Expenditure,At or Above Median Workers,0,1,0,7622.5,-2026.1487750000015,8.307114600000006,0,62,0.0
andhra pradesh,y.s.r,265245,472373,198061,371530,87036,6098,7100000,6579138,1368804,83378,4250267,47,242.390117,4814,138021,219783,2232,3,56005,47840,8165,51.72,51,24.97,25813.05602,15947.1803,8867.630471,998.24525,1,26,730,1,26,13.06552632368739,0,12380375,476168.26923076925,3.8154983189119878,10.158674429533011,0,680813.686349,26185.141782653845,3.7915007494087987,5.494665575784939,0,0.05464549417515396,5464.549417515395,18.299770458561923,1948.8129542839406,106.49384694178765,At or Above Median Wage,At or Above Median Expenditure,At or Above Median Workers,0,1,0,5632.5,1188.0826849999976,-3.218016299999988,0,62,0.0
andhra pradesh,anantapur,323800,582624,259160,487015,99447,18307,9500000,8710993,1600406,354494,4868045,49,238.5444322,4059,176555,304566,3673,0,55267,45930,9337,52.95,48,35.02,31932.18643,20779.58879,10083.89815,1068.69949,1,26,26,1,26,13.275299033675042,0,12380375,476168.26923076925,4.706028694607393,10.371401074967109,0,680813.686349,26185.141782653845,4.690297370671668,5.478738920312197,0,0.05480753698783435,5480.7536987834355,18.245665741592628,2442.4129065880584,133.86263571738903,Below Median Wage,At or Above Median Expenditure,At or Above Median Workers,0,1,0,115883.5,7307.213094999999,-7.063701100000003,0,62,0.0
andhra pradesh,kurnool,335662,621141,256394,508772,109013,6722,8100000,7471835,1508869,97747,4104371,41,267.8292994,2288,180221,316375,2746,5,47694,38804,8890,32.17,40,57.05,27963.49582,20011.76333,7110.858378,840.87411,1,26,375,1,26,13.33931499822217,0,12380375,476168.26923076925,5.0171420494128816,10.238690978128387,0,680813.686349,26185.141782653845,4.107363935346227,5.594076603452892,0,0.04501956209620682,4501.956209620682,22.21256612543231,2319.167474923395,104.40790414881695,At or Above Median Wage,At or Above Median Expenditure,At or Above Median Workers,0,1,0,154400.5,3338.5224849999977,22.221166100000033,0,62,0.0
andhra pradesh,alluri sitharama raju,238959,461108,221625,440689,10188,402187,10700000,9887718,193274,9059971,5143752,52,253.535208,14162,188490,336435,3527,2,69937,60750,9187,25.56,78,51.58,39258.17076,25068.84639,13489.17105,700.15332,1,26,14,1,26,13.041389736546929,0,12380375,476168.26923076925,3.724507537130337,10.577940345854964,0,680813.686349,26185.141782653845,5.76636039303643,5.539439168268985,0,0.0851387760784892,8513.87760784892,11.745529429247405,1818.713872670497,154.84307315613538,At or Above Median Wage,At or Above Median Expenditure,At or Above Median Workers,0,1,0,-5632.5,14633.197424999998,7.92707470000002,0,62,0.0
andhra pradesh,anakapalli,296188,456236,240744,395890,36815,17172,10800000,9875203,814501,393472,6797817,50,267.1586388,2926,195705,285372,3748,6,37021,31030,5991,66.37,57,13.94,32575.97821,26382.45791,5690.110151,503.41015,1,26,24,1,26,13.030767690322216,0,12380375,476168.26923076925,3.6851549327059967,10.391361128007972,0,680813.686349,26185.141782653845,4.784859479646366,5.591578741206849,0,0.07140159524895011,7140.159524895011,14.005289328808155,1707.73440847461,121.93496102660933,At or Above Median Wage,At or Above Median Expenditure,At or Above Median Workers,0,1,0,-10504.5,7951.004874999999,21.550505500000014,0,62,0.0
andhra pradesh,konaseema,226438,346509,151887,251506,118692,2280,5000000,4620903,2269514,41204,2918652,38,267.1018619,1223,119151,169503,2742,2,32219,25935,6284,4.19,35,81.75,17256.2102,12342.51795,4521.214233,392.47802,1,26,359,1,26,12.755666957224513,0,12380375,476168.26923076925,2.7988570620841453,9.755985317737805,0,680813.686349,26185.141782653845,2.5346450205106614,5.591366990014516,0,0.04980017892753147,4980.017892753147,20.080249138365268,1297.2915933088073,64.60535346796098,At or Above Median Wage,At or Above Median Expenditure,At or Above Median Workers,0,0,0,-120231.5,-7368.763135000001,21.493728600000026,0,62,0.0
andhra pradesh,eluru,385524,679955,323493,596941,212027,52705,12000000,11259711,3974284,1151337,6498157,44,248.5597158,2716,254777,417475,3453,3,57475,51114,6361,54.41,52,33.58,37406.33875,27987.10567,8913.706125,505.52696,1,26,191,1,26,13.429783369176421,0,12380375,476168.26923076925,5.492200357420515,10.52962218741539,0,680813.686349,26185.141782653845,5.494357634112646,5.519698228437641,0,0.05501296225485511,5501.296225485511,18.17753414854053,2735.5800509005894,150.49236208532872,At or Above Median Wage,At or Above Median Expenditure,At or Above Median Workers,0,1,0,213214.5,12781.365415,2.9515825000000007,0,62,0.0
andhra pradesh,ntr,206605,363339,167654,310341,121001,22619,7700000,6971290,2726625,510984,4064797,48,252.3709198,2903,143689,244083,2457,2,37532,33893,3639,18.0,35,64.93,23384.1186,17593.50869,5524.792158,265.81775,1,26,488,1,26,12.803094313992736,0,12380375,476168.26923076925,2.9347980170229095,10.059855141774237,0,680813.686349,26185.141782653845,3.4347309798370875,5.534854501238457,0,0.06435895568601224,6435.895568601224,15.537853113694009,1439.7023250061475,92.65773813611945,At or Above Median Wage,At or Above Median Expenditure,At or Above Median Workers,0,1,0,-103401.5,-1240.8547350000008,6.762786500000004,0,62,0.0
andhra pradesh,bapatla,262811,456258,205856,383248,138540,13997,7200000,6588983,2364396,227665,3544945,40,245.3067328,5762,163994,284545,2148,1,49977,42571,7406,16.23,19,70.59,20820.11065,16163.21892,4246.807684,410.08405,1,26,62,1,26,13.03081590971168,0,12380375,476168.26923076925,3.6853326333006877,9.943722686087167,0,680813.686349,26185.141782653845,3.0581216370152635,5.506577640522264,0,0.04563231910454173,4563.231910454173,21.914292756172266,1859.9489495952391,84.87378398608715,At or Above Median Wage,At or Above Median Expenditure,At or Above Median Workers,0,0,0,-10482.5,-3804.8626850000037,-0.30140049999999974,0,62,0.0
andhra pradesh,palnadu,329605,556195,252902,460073,122148,39504,7900000,7452661,1925267,657630,3994313,38,242.5270559,4699,191525,328503,2332,13,34784,31406,3378,19.19,19,72.57,24503.46999,18074.71931,5966.894873,461.85581,1,26,498,1,26,13.228876029098464,0,12380375,476168.26923076925,4.492553739284958,10.10661082846253,0,680813.686349,26185.141782653845,3.599144741258769,5.495228048875773,0,0.0440555380576956,4405.553805769559,22.698621877921216,2293.3317601865137,101.03396463981899,At or Above Median Wage,At or Above Median Expenditure,At or Above Median Workers,0,1,0,89454.5,-121.50334500000099,-3.081077399999998,0,62,0.0
andhra pradesh,nandyal,295010,539558,213947,418418,119583,13601,6700000,6137259,1757505,256210,3706908,39,241.8015099,1696,155038,263747,2054,3,47430,42709,4721,27.02,33,62.66,20030.22535,14839.98493,4607.414413,582.82601,1,26,466,1,26,13.1985074182199,0,12380375,476168.26923076925,4.35817170319962,9.9050476025251,0,680813.686349,26185.141782653845,2.9421008642490873,5.492244277864525,0,0.037123396094581124,3712.3396094581126,26.937190699155064,2231.408729511825,82.8374701145735,At or Above Median Wage,At or Above Median Expenditure,At or Above Median Workers,0,0,0,72817.5,-4594.747985000002,-3.806623399999978,0,62,0.0
andhra pradesh,sri sathya sai,289486,514790,221833,422089,69867,25540,6400000,5912285,937493,425203,3239909,46,224.303383,6345,127124,216786,2893,0,47873,40179,7694,54.25,62,29.16,19946.80627,13261.45527,6001.257231,684.09377,1,26,644,1,26,13.151516272033804,0,12380375,476168.26923076925,4.15811314277637,9.900874454868303,0,680813.686349,26185.141782653845,2.9298480142149836,5.4174478628603095,0,0.03874746259639853,3874.746259639853,25.808141565712415,2295.061238554748,88.9277994973442,Below Median Wage,At or Above Median Expenditure,At or Above Median Workers,0,0,0,48049.5,-4678.1670650000015,-21.304750299999995,0,62,0.0
andhra pradesh,annamayya,265316,434366,207372,360390,72754,14059,7700000,7245164,1472679,304514,4262463,50,245.9095338,4714,143238,215691,1849,3,66035,51040,14995,49.45,70,31.46,24746.47668,17816.54902,6336.398176,593.52949,1,26,30,1,26,12.981645077865407,0,12380375,476168.26923076925,3.5085043869834314,10.116478810476112,0,680813.686349,26185.141782653845,3.6348383083642086,5.509022009619403,0,0.05697148644230902,5697.1486442309015,17.552640144164556,1766.3650257385832,100.63244111603451,At or Above Median Wage,At or Above Median Expenditure,At or Above Median Workers,0,1,0,-32374.5,121.50334499999735,0.30140049999999974,0,62,0.0
andhra pradesh,tirupati,281398,479611,226901,407097,158795,32588,8300000,8111117,3301405,677027,5164707,49,261.7776819,13452,165444,250174,2617,16,44487,38054,6433,72.02,46,19.83,26721.24155,21233.09406,4865.056323,623.09117,1,26,678,1,26,13.080732722673188,0,12380375,476168.26923076925,3.8739618145653907,10.193251514476295,0,680813.686349,26185.141782653845,3.924897822383392,5.571308358727168,0,0.05571440511164256,5571.440511164255,17.948679484168654,1832.1309766323513,102.07608744968414,At or Above Median Wage,At or Above Median Expenditure,At or Above Median Workers,0,1,0,12870.5,2096.2682149999964,16.169548600000013,0,62,0.0
andhra pradesh,parvathipuram manyam,214445,402688,192748,378124,46715,137114,9500000,8689240,1030221,3283542,5109136,52,242.4063426,7040,166212,283155,4021,1,51804,42668,9136,57.14,75,32.33,26437.10562,21063.26888,4871.476553,502.36019,1,26,506,1,26,12.9059198308469,0,12380375,476168.26923076925,3.2526316852276285,10.182561643138552,0,680813.686349,26185.141782653845,3.883163066502714,5.494732238554095,0,0.06565158539613795,6565.158539613795,15.231924620952512,1661.2106584376147,109.06111340339162,At or Above Median Wage,At or Above Median Expenditure,At or Above Median Workers,0,1,0,-64052.5,1812.132284999996,-3.2017907000000037,0,62,0.0
andhra pradesh,kakinada,283299,455915,205451,350229,95669,8585,6000000,5528959,1614758,137777,2838441,37,244.5974224,869,146034,208423,3290,4,33835,27405,6430,43.19,44,47.09,18190.50398,13523.6912,4254.484036,412.32874,1,26,298,1,26,13.030063861001365,0,12380375,476168.26923076925,3.682562119483457,9.808709949787463,0,680813.686349,26185.141782653845,2.671876953230807,5.503693701103907,0,0.03989889339021528,3989.889339021528,25.063351763165386,1863.9403290784637,74.36915647562442,At or Above Median Wage,At or Above Median Expenditure,At or Above Median Workers,0,0,0,-10825.5,-6434.469355000001,-1.0107108999999923,0,62,0.0
arunachal pradesh,anjaw,9059,11228,8580,10703,0,10545,440167,87148,0,85794,46135,17,508.9395855,0,5043,5063,0,4,201,201,0,2.52,0,39.27,626.352617,443.53067,179.075947,3.746,2,25,29,1,25,9.326254996572539,0,497643,19905.72,2.256235896013809,6.441508770112112,0,15531.7609848,621.270439392,4.03272119377174,6.234292258897534,0,0.05578487860705379,5578.487860705379,17.92600476992978,22.061557638455692,1.2307013147437713,At or Above Median Wage,Below Median Expenditure,Below Median Workers,0,0,1,-5306.0,267.1833795,227.91167240000004,0,62,0.0
