Feature_Name,Feature_Type,Missing_Values,Unique_Values
state_name,object,0,34
district_name,object,0,736
Total No. of JobCards issued,int64,0,740
Total No. of Workers,int64,0,740
Total No. of Active Job Cards,int64,0,738
Total No. of Active Workers,int64,0,738
SC workers against active workers,int64,0,684
ST workers against active workers,int64,0,689
Approved Labour Budget,int64,0,683
Persondays of Central Liability so far,int64,0,730
SC persondays,int64,0,675
ST persondays,int64,0,689
Women Persondays,int64,0,729
Average days of employment provided per Household,int64,0,50
Average Wage rate per day per person(Rs.),float64,0,729
Total No of HHs completed 100 Days of Wage Employment,int64,0,435
Total Households Worked,int64,0,728
Total Individuals Worked,int64,0,727
Differently abled persons worked,int64,0,448
Number of GPs with NIL exp,int64,0,115
Total No. of Works Takenup (New+Spill Over),int64,0,736
Number of Ongoing Works,int64,0,734
Number of Completed Works,int64,0,670
% of NRM Expenditure(Public + Individual),float64,0,681
% of Category B Works,int64,0,99
% of Expenditure on Agriculture & Agriculture Allied Works,float64,0,702
Total Exp(Rs. in Lakhs.),float64,0,737
Wages(Rs. In Lakhs),float64,0,733
Material and skilled Wages(Rs. In Lakhs),float64,0,705
Total Adm Expenditure (Rs. in Lakhs.),float64,0,663
State_ID,int8,0,34
State_Record_Count,int64,0,26
District_ID,int16,0,736
District_Record_Count,int64,0,2
State_District_Count,int64,0,26
Workers_Log,float64,0,740
Workers_Missing_Flag,int64,0,1
State_Total_Workers,int64,0,34
State_Average_Workers,float64,0,34
Worker_Share_of_State,float64,0,739
Expenditure_Log,float64,0,737
Expenditure_Missing_Flag,int64,0,1
State_Total_Expenditure,float64,0,34
State_Average_Expenditure,float64,0,34
Expenditure_Share_of_State,float64,1,737
Wage_Log,float64,0,729
Wage_Missing_Flag,int64,0,1
Expenditure_Per_Worker_Lakhs,float64,0,737
Expenditure_Per_Worker_Rs,float64,0,737
Workers_Per_Expenditure_Lakh,float64,4,736
Worker_Wage_Ratio,float64,12,728
Expenditure_Wage_Ratio,float64,12,728
Wage_Category,object,0,2
Expenditure_Category,object,0,2
Worker_Category,object,0,2
Workers_Outlier_Flag,int64,0,2
Expenditure_Outlier_Flag,int64,0,2
Wage_Outlier_Flag,int64,0,2
Workers_vs_State_Median,float64,0,725
Expenditure_vs_State_Median,float64,0,723
Wage_vs_State_Median,float64,0,716
Total_Missing_Values_Per_Row,int64,0,4
Total_Available_Values_Per_Row,int64,0,4
Missing_Value_Percentage_Per_Row,float64,0,4
