Feature_Name,Feature_Type,Description,Missing_Values,Unique_Values
Timestamp,datetime64[ns],Original dataset column,0,5000
Latitude,float64,Original dataset column,0,5000
Longitude,float64,Original dataset column,0,4999
Vehicle_Count,int64,Original dataset column,0,290
Traffic_Speed_kmh,float64,Original dataset column,0,5000
Road_Occupancy_%,float64,Original dataset column,0,5000
Traffic_Light_State,object,Original dataset column,0,3
Weather_Condition,object,Original dataset column,0,4
Accident_Report,int64,Original dataset column,0,2
Ride_Sharing_Demand,int64,Original dataset column,0,99
Parking_Availability,int64,Original dataset column,0,50
Emission_Levels_g_km,float64,Original dataset column,0,5000
Energy_Consumption_L_h,float64,Original dataset column,0,5000
Traffic_Condition,object,Original dataset column,0,3
Date,object,Date extracted from timestamp,0,18
Year,int32,Year extracted from timestamp,0,1
Month,int32,Month number extracted from timestamp,0,1
Month_Name,object,Month name extracted from timestamp,0,1
Day,int32,Day of month extracted from timestamp,0,18
Day_of_Week,int32,Numerical day of week,0,7
Day_Name,object,Name of day,0,7
Week_of_Year,Int64,Week number of year,0,4
Quarter,int32,Quarter extracted from timestamp,0,1
Hour,int32,Hour extracted from timestamp,0,24
Minute,int32,Minute extracted from timestamp,0,12
Is_Weekend,int64,Weekend indicator flag,0,2
Time_Period,object,Traffic period category based on hour,0,5
Is_Morning_Peak,int64,Morning peak hour indicator (7 AM - 10 AM),0,2
Is_Evening_Peak,int64,Evening peak hour indicator (5 PM - 8 PM),0,2
Is_Peak_Hour,int64,Peak traffic hour indicator,0,2
Is_Off_Peak_Hour,int64,Non-peak hour indicator,0,2
Vehicle_Count_Log,float64,Log transformed vehicle count,0,290
Vehicle_Count_Category,object,Vehicle count category based on median,0,2
Traffic_Speed_Log,float64,Log transformed traffic speed,0,5000
Speed_Category,object,Traffic speed classification,0,4
Road_Occupancy_Log,float64,Log transformed road occupancy,0,5000
Occupancy_Category,object,Road occupancy classification,0,4
Vehicle_Count_per_Occupancy,float64,Vehicle count divided by occupancy percentage,0,5000
Occupancy_per_Vehicle,float64,Occupancy percentage divided by vehicle count,0,5000
High_Traffic_Flag,int64,High vehicle count indicator,0,2
Low_Speed_Flag,int64,Low speed indicator,0,2
Congestion_Risk_Flag,int64,High traffic combined with low speed indicator,0,2
Traffic_Condition_ID,int8,Original dataset column,0,3
Weather_Condition_ID,int8,Original dataset column,0,4
Traffic_Light_State_ID,int8,Original dataset column,0,3
Accident_Report_ID,int8,Original dataset column,0,2
Time_Period_ID,int8,Original dataset column,0,5
Speed_Category_ID,int8,Original dataset column,0,4
Occupancy_Category_ID,int8,Original dataset column,0,4
Vehicle_Count_Category_ID,int8,Original dataset column,0,2
Average_Speed_by_Weather,float64,Average traffic speed by weather condition,0,4
Speed_vs_Weather_Average,float64,Difference between speed and weather average speed,0,5000
Average_Vehicles_by_Traffic_Condition,float64,Average vehicles by traffic condition,0,3
Vehicles_vs_Traffic_Condition_Average,float64,Difference from traffic condition vehicle average,0,567
Average_Vehicles_by_Hour,float64,Average vehicle count by hour,0,24
Vehicles_vs_Hour_Average,float64,Difference from hourly average vehicle count,0,3566
Vehicle_Count_Outlier_Flag,int64,IQR based vehicle count outlier flag,0,1
Traffic_Speed_Outlier_Flag,int64,IQR based traffic speed outlier flag,0,1
Road_Occupancy_Outlier_Flag,int64,IQR based road occupancy outlier flag,0,1
Total_Missing_Values_Per_Row,int64,Total missing values present in each row,0,1
Total_Available_Values_Per_Row,int64,Total available values present in each row,0,1
Missing_Value_Percentage_Per_Row,float64,Percentage of missing values per row,0,1
