Model,Dataset,Training Time (s),Timestamp,Model Path,accuracy,precision,recall,f1_score,roc_auc
LogisticRegression,processed_20260731_165209,0.064,20260803_172454,models\LogisticRegression_processed_20260731_165209_20260803_172454.pkl,0.605,0.5845,0.605,0.5671,0.5201
LogisticRegression,processed_20260731_165209,0.0092,20260731_170439,models\LogisticRegression_processed_20260731_165209_20260731_170439.pkl,0.605,0.5845,0.605,0.5671,0.5201
DecisionTree,processed_20260731_165209,0.0292,20260731_170440,models\DecisionTree_processed_20260731_165209_20260731_170440.pkl,0.565,0.5608,0.565,0.5625,0.5438
DecisionTree,processed_20260731_165209,0.046,20260803_172456,models\DecisionTree_processed_20260731_165209_20260803_172456.pkl,0.565,0.5608,0.565,0.5625,0.5438
GradientBoosting,processed_20260731_165209,0.6759,20260731_170503,models\GradientBoosting_processed_20260731_165209_20260731_170503.pkl,0.555,0.525,0.555,0.5252,0.5357
GradientBoosting,processed_20260731_165209,1.0454,20260803_172523,models\GradientBoosting_processed_20260731_165209_20260803_172523.pkl,0.555,0.525,0.555,0.5252,0.5357
XGBoost,processed_20260731_165209,0.296,20260731_170507,models\XGBoost_processed_20260731_165209_20260731_170507.pkl,0.525,0.5038,0.525,0.5089,0.4844
XGBoost,processed_20260731_165209,0.5767,20260803_172526,models\XGBoost_processed_20260731_165209_20260803_172526.pkl,0.525,0.5038,0.525,0.5089,0.4844
SVM,processed_20260731_165209,0.2309,20260731_170452,models\SVM_processed_20260731_165209_20260731_170452.pkl,0.58,0.5292,0.58,0.4988,0.4631
SVM,processed_20260731_165209,0.3452,20260803_172510,models\SVM_processed_20260731_165209_20260803_172510.pkl,0.58,0.5292,0.58,0.4988,0.4631
Unknown,dataset,0.2289,20260731_165209,models/RandomForest_dataset_20260731_165209.pkl,0.55,0.5002,0.55,0.4972,0.5009
KNN,processed_20260731_165209,0.0067,20260731_170458,models\KNN_processed_20260731_165209_20260731_170458.pkl,0.495,0.494,0.495,0.4945,0.4505
KNN,processed_20260731_165209,0.004,20260803_172516,models\KNN_processed_20260731_165209_20260803_172516.pkl,0.495,0.494,0.495,0.4945,0.4505
RandomForest,processed_20260731_165209,0.3631,20260803_172508,models\RandomForest_processed_20260731_165209_20260803_172508.pkl,0.495,0.4509,0.495,0.4612,0.4787
RandomForest,processed_20260731_165209,0.1797,20260731_170449,models\RandomForest_processed_20260731_165209_20260731_170449.pkl,0.495,0.4509,0.495,0.4612,0.4787
NaiveBayes,processed_20260731_165209,0.0032,20260731_170459,models\NaiveBayes_processed_20260731_165209_20260731_170459.pkl,0.42,0.454,0.42,0.4176,0.4668
NaiveBayes,processed_20260731_165209,0.004,20260803_172518,models\NaiveBayes_processed_20260731_165209_20260803_172518.pkl,0.42,0.454,0.42,0.4176,0.4668
