timestamp,run_id,dataset_name,dataset_version,algorithm,task_type,training_time_seconds,model_path,hyperparameters,metrics,model_name
20260731_165209,3ab2a61ff3fe4e9384e007ecd69ae98c,dataset,20260730_181257,RandomForest,classification,0.2289,models/RandomForest_dataset_20260731_165209.pkl,"{""n_estimators"": 100, ""max_depth"": 10, ""min_samples_split"": 5, ""min_samples_leaf"": 2, ""random_state"": 42, ""learning_rate"": 0.1, ""n_estimators_gb"": 100, ""max_depth_gb"": 5, ""learning_rate_xgb"": 0.1, ""n_estimators_xgb"": 100, ""max_depth_xgb"": 6, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""alpha"": 1.0, ""l1_ratio"": 0.5}","{""accuracy"": 0.55, ""precision"": 0.5002164502164502, ""recall"": 0.55, ""f1_score"": 0.49721952404079645, ""roc_auc"": 0.5008818342151675}",
20260731_170439,,processed_20260731_165209,,,classification,0.0092,models\LogisticRegression_processed_20260731_165209_20260731_170439.pkl,"{""C"": 1.0, ""solver"": ""liblinear"", ""max_iter"": 500}","{""accuracy"": 0.605, ""precision"": 0.5845, ""recall"": 0.605, ""f1_score"": 0.5671018098877336, ""roc_auc"": 0.5200746965452848}",LogisticRegression
20260731_170440,,processed_20260731_165209,,,classification,0.0292,models\DecisionTree_processed_20260731_165209_20260731_170440.pkl,"{""max_depth"": null, ""min_samples_split"": 2, ""min_samples_leaf"": 1}","{""accuracy"": 0.565, ""precision"": 0.560787351443124, ""recall"": 0.565, ""f1_score"": 0.5625485570496186, ""roc_auc"": 0.5437804751530242}",DecisionTree
20260731_170449,,processed_20260731_165209,,,classification,0.1797,models\RandomForest_processed_20260731_165209_20260731_170449.pkl,"{""n_estimators"": 100, ""max_depth"": null, ""min_samples_split"": 2, ""min_samples_leaf"": 1}","{""accuracy"": 0.495, ""precision"": 0.4508552631578947, ""recall"": 0.495, ""f1_score"": 0.4611542092165108, ""roc_auc"": 0.4786803610333022}",RandomForest
20260731_170452,,processed_20260731_165209,,,classification,0.2309,models\SVM_processed_20260731_165209_20260731_170452.pkl,"{""C"": 1.0, ""kernel"": ""rbf""}","{""accuracy"": 0.58, ""precision"": 0.5292418196328811, ""recall"": 0.58, ""f1_score"": 0.49875246742992496, ""roc_auc"": 0.4631185807656396}",SVM
20260731_170458,,processed_20260731_165209,,,classification,0.0067,models\KNN_processed_20260731_165209_20260731_170458.pkl,"{""n_neighbors"": 5, ""weights"": ""uniform""}","{""accuracy"": 0.495, ""precision"": 0.494, ""recall"": 0.495, ""f1_score"": 0.49448816237428206, ""roc_auc"": 0.4504616661479407}",KNN
20260731_170459,,processed_20260731_165209,,,classification,0.0032,models\NaiveBayes_processed_20260731_165209_20260731_170459.pkl,{},"{""accuracy"": 0.42, ""precision"": 0.45396895787139685, ""recall"": 0.42, ""f1_score"": 0.4175630252100841, ""roc_auc"": 0.46680153542898645}",NaiveBayes
20260731_170503,,processed_20260731_165209,,,classification,0.6759,models\GradientBoosting_processed_20260731_165209_20260731_170503.pkl,"{""learning_rate"": 0.1, ""n_estimators"": 100, ""max_depth"": 3}","{""accuracy"": 0.555, ""precision"": 0.5249671052631579, ""recall"": 0.555, ""f1_score"": 0.5251754912897967, ""roc_auc"": 0.5357402220147319}",GradientBoosting
20260731_170507,,processed_20260731_165209,,,classification,0.296,models\XGBoost_processed_20260731_165209_20260731_170507.pkl,"{""learning_rate"": 0.1, ""n_estimators"": 100, ""max_depth"": 6, ""subsample"": 0.8, ""colsample_bytree"": 0.8}","{""accuracy"": 0.525, ""precision"": 0.50375, ""recall"": 0.525, ""f1_score"": 0.5088844163312248, ""roc_auc"": 0.4843863471314451}",XGBoost
20260803_172454,,processed_20260731_165209,,,classification,0.064,models\LogisticRegression_processed_20260731_165209_20260803_172454.pkl,"{""C"": 1.0, ""solver"": ""liblinear"", ""max_iter"": 500}","{""accuracy"": 0.605, ""precision"": 0.5845, ""recall"": 0.605, ""f1_score"": 0.5671018098877336, ""roc_auc"": 0.5200746965452848}",LogisticRegression
20260803_172456,,processed_20260731_165209,,,classification,0.046,models\DecisionTree_processed_20260731_165209_20260803_172456.pkl,"{""max_depth"": null, ""min_samples_split"": 2, ""min_samples_leaf"": 1}","{""accuracy"": 0.565, ""precision"": 0.560787351443124, ""recall"": 0.565, ""f1_score"": 0.5625485570496186, ""roc_auc"": 0.5437804751530242}",DecisionTree
20260803_172508,,processed_20260731_165209,,,classification,0.3631,models\RandomForest_processed_20260731_165209_20260803_172508.pkl,"{""n_estimators"": 100, ""max_depth"": null, ""min_samples_split"": 2, ""min_samples_leaf"": 1}","{""accuracy"": 0.495, ""precision"": 0.4508552631578947, ""recall"": 0.495, ""f1_score"": 0.4611542092165108, ""roc_auc"": 0.4786803610333022}",RandomForest
20260803_172510,,processed_20260731_165209,,,classification,0.3452,models\SVM_processed_20260731_165209_20260803_172510.pkl,"{""C"": 1.0, ""kernel"": ""rbf""}","{""accuracy"": 0.58, ""precision"": 0.5292418196328811, ""recall"": 0.58, ""f1_score"": 0.49875246742992496, ""roc_auc"": 0.4631185807656396}",SVM
20260803_172516,,processed_20260731_165209,,,classification,0.004,models\KNN_processed_20260731_165209_20260803_172516.pkl,"{""n_neighbors"": 5, ""weights"": ""uniform""}","{""accuracy"": 0.495, ""precision"": 0.494, ""recall"": 0.495, ""f1_score"": 0.49448816237428206, ""roc_auc"": 0.4504616661479407}",KNN
20260803_172518,,processed_20260731_165209,,,classification,0.004,models\NaiveBayes_processed_20260731_165209_20260803_172518.pkl,{},"{""accuracy"": 0.42, ""precision"": 0.45396895787139685, ""recall"": 0.42, ""f1_score"": 0.4175630252100841, ""roc_auc"": 0.46680153542898645}",NaiveBayes
20260803_172523,,processed_20260731_165209,,,classification,1.0454,models\GradientBoosting_processed_20260731_165209_20260803_172523.pkl,"{""learning_rate"": 0.1, ""n_estimators"": 100, ""max_depth"": 3}","{""accuracy"": 0.555, ""precision"": 0.5249671052631579, ""recall"": 0.555, ""f1_score"": 0.5251754912897967, ""roc_auc"": 0.5357402220147319}",GradientBoosting
20260803_172526,,processed_20260731_165209,,,classification,0.5767,models\XGBoost_processed_20260731_165209_20260803_172526.pkl,"{""learning_rate"": 0.1, ""n_estimators"": 100, ""max_depth"": 6, ""subsample"": 0.8, ""colsample_bytree"": 0.8}","{""accuracy"": 0.525, ""precision"": 0.50375, ""recall"": 0.525, ""f1_score"": 0.5088844163312248, ""roc_auc"": 0.4843863471314451}",XGBoost
20260804_120027,95a3db96ff424634aac0bedf0fed8a6b,dataset,20260731_170140,RandomForest,classification,0.5376,models/RandomForest_dataset_20260804_120027.pkl,"{""n_estimators"": 100, ""max_depth"": 10, ""min_samples_split"": 5, ""min_samples_leaf"": 2, ""random_state"": 42, ""learning_rate"": 0.1, ""n_estimators_gb"": 100, ""max_depth_gb"": 5, ""learning_rate_xgb"": 0.1, ""n_estimators_xgb"": 100, ""max_depth_xgb"": 6, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""alpha"": 1.0, ""l1_ratio"": 0.5}","{""accuracy"": 0.55, ""precision"": 0.5002164502164502, ""recall"": 0.55, ""f1_score"": 0.49721952404079645, ""roc_auc"": 0.5008818342151675}",
