2026-08-03 17:24:40 | INFO     | CARIVIX_AI | run_baseline_pipeline:285 | ======================================================================
2026-08-03 17:24:40 | INFO     | CARIVIX_AI | run_baseline_pipeline:286 |   CARIVIX AI - BASELINE MODEL PIPELINE
2026-08-03 17:24:40 | INFO     | CARIVIX_AI | run_baseline_pipeline:287 |   Started at: 2026-08-03 17:24:40
2026-08-03 17:24:40 | INFO     | CARIVIX_AI | run_baseline_pipeline:288 | ======================================================================
2026-08-03 17:24:40 | INFO     | CARIVIX_AI | baseline_pipeline:473 | ======================================================================
2026-08-03 17:24:40 | INFO     | CARIVIX_AI | baseline_pipeline:474 |   CARIVIX AI - BASELINE MODEL PIPELINE
2026-08-03 17:24:40 | INFO     | CARIVIX_AI | baseline_pipeline:475 | ======================================================================
2026-08-03 17:24:40 | INFO     | CARIVIX_AI | baseline_pipeline:483 | Loading configuration from: D:\CARIVIX\CARIVIX AI\CARIVIX_AI_Model_Training\config/config.yaml
2026-08-03 17:24:40 | INFO     | CARIVIX_AI | utils:146 | Configuration loaded successfully from D:\CARIVIX\CARIVIX AI\CARIVIX_AI_Model_Training\config/config.yaml
2026-08-03 17:24:40 | INFO     | CARIVIX_AI | baseline_pipeline:486 | ✓ Configuration Loaded
2026-08-03 17:24:40 | INFO     | CARIVIX_AI | baseline_pipeline:84 | --------------------------------------------------
2026-08-03 17:24:40 | INFO     | CARIVIX_AI | baseline_pipeline:85 | STEP: Dataset Loading
2026-08-03 17:24:40 | INFO     | CARIVIX_AI | baseline_pipeline:86 | --------------------------------------------------
2026-08-03 17:24:40 | INFO     | CARIVIX_AI | baseline_pipeline:103 | Using latest processed dataset: D:\CARIVIX\CARIVIX AI\CARIVIX_AI_Model_Training\data/processed\processed_20260731_165209.csv
2026-08-03 17:24:40 | INFO     | CARIVIX_AI | baseline_pipeline:117 | Loading dataset from: D:\CARIVIX\CARIVIX AI\CARIVIX_AI_Model_Training\data/processed\processed_20260731_165209.csv
2026-08-03 17:24:40 | INFO     | CARIVIX_AI | utils:487 | DataFrame loaded from D:\CARIVIX\CARIVIX AI\CARIVIX_AI_Model_Training\data/processed\processed_20260731_165209.csv (shape: (1000, 29))
2026-08-03 17:24:40 | INFO     | CARIVIX_AI | baseline_pipeline:119 | Dataset loaded. Shape: (1000, 29)
2026-08-03 17:24:40 | INFO     | CARIVIX_AI | baseline_pipeline:135 | Features shape: (1000, 28), Target shape: (1000,)
2026-08-03 17:24:40 | INFO     | CARIVIX_AI | baseline_pipeline:136 | Target dtype: int64
