2026-08-22 16:08:28 | INFO     | CARIVIX_AI | main_rag:479 | ======================================================================
2026-08-22 16:08:28 | INFO     | CARIVIX_AI | main_rag:480 |   CARIVIX AI - RAG PIPELINE
2026-08-22 16:08:28 | INFO     | CARIVIX_AI | main_rag:481 |   Started at: 2026-08-22 16:08:28
2026-08-22 16:08:28 | INFO     | CARIVIX_AI | main_rag:482 | ======================================================================
2026-08-22 16:08:28 | INFO     | CARIVIX_AI | main_rag:490 | Initializing RAG pipeline...
2026-08-22 16:08:28 | INFO     | CARIVIX_AI | loader:62 | DocumentLoader initialized. Directory: D:\CARIVIX\CARIVIX AI\CARIVIX_AI_Model_Training\data\documents
2026-08-22 16:08:28 | INFO     | CARIVIX_AI | splitter:52 | TextPreprocessor initialized. Remove special chars: False
2026-08-22 16:08:28 | INFO     | CARIVIX_AI | splitter:206 | DocumentSplitter initialized. Chunk size: 500, Overlap: 50
2026-08-22 16:08:28 | INFO     | CARIVIX_AI | embeddings:84 | EmbeddingGenerator initialized. Model: all-MiniLM-L6-v2, Device: cpu, Batch: 32
2026-08-22 16:08:28 | INFO     | CARIVIX_AI | vector_store:81 | VectorStore initialized. Directory: D:\CARIVIX\CARIVIX AI\CARIVIX_AI_Model_Training\data\vector_store, Index type: L2
2026-08-22 16:08:28 | INFO     | CARIVIX_AI | retriever:62 | Retriever initialized. Embedding model: all-MiniLM-L6-v2, Vector store: D:\CARIVIX\CARIVIX AI\CARIVIX_AI_Model_Training\data\vector_store
2026-08-22 16:08:28 | INFO     | CARIVIX_AI | prompt_builder:89 | PromptBuilder initialized. Include metadata: False
2026-08-22 16:08:28 | INFO     | CARIVIX_AI | pipeline:152 | RAGPipeline initialized. Documents: D:\CARIVIX\CARIVIX AI\CARIVIX_AI_Model_Training\data\documents, Vector store: D:\CARIVIX\CARIVIX AI\CARIVIX_AI_Model_Training\data\vector_store, Chunk size: 500/50, LLM: ollama/default, Retrieval k: 5
2026-08-22 16:08:28 | INFO     | CARIVIX_AI | pipeline:210 | ============================================================
2026-08-22 16:08:28 | INFO     | CARIVIX_AI | pipeline:211 |   RAG INDEXING PIPELINE
2026-08-22 16:08:28 | INFO     | CARIVIX_AI | pipeline:212 | ============================================================
2026-08-22 16:08:28 | INFO     | CARIVIX_AI | pipeline:215 | Step 1/5: Loading documents...
2026-08-22 16:08:28 | INFO     | CARIVIX_AI | loader:102 | Loaded sample_about_carivix.txt → 1 document(s)
2026-08-22 16:08:28 | INFO     | CARIVIX_AI | loader:102 | Loaded sample_economics.txt → 1 document(s)
2026-08-22 16:08:28 | ERROR    | CARIVIX_AI | loader:256 | Error reading DOCX 'sample_report.docx': Package not found at 'D:\CARIVIX\CARIVIX AI\CARIVIX_AI_Model_Training\data\documents\sample_report.docx'
2026-08-22 16:08:28 | INFO     | CARIVIX_AI | loader:102 | Loaded sample_report.docx → 0 document(s)
2026-08-22 16:08:28 | INFO     | CARIVIX_AI | loader:112 | Document loading complete. 3 file(s), 2 document(s) loaded.
2026-08-22 16:08:28 | INFO     | CARIVIX_AI | pipeline:222 | Step 2/5: Preprocessing and splitting documents...
2026-08-22 16:08:28 | INFO     | CARIVIX_AI | splitter:127 | Text cleaning complete. 2 → 2 documents.
2026-08-22 16:08:28 | INFO     | CARIVIX_AI | splitter:247 | Document splitting complete. 2 documents → 12 chunks. Chunk size: 500, Overlap: 50
2026-08-22 16:08:28 | INFO     | CARIVIX_AI | pipeline:230 | Step 3/5: Generating embeddings for 12 chunks...
2026-08-22 16:08:28 | INFO     | CARIVIX_AI | embeddings:116 | Loading SentenceTransformer model: all-MiniLM-L6-v2 (device: cpu)...
2026-08-22 16:08:34 | INFO     | CARIVIX_AI | embeddings:135 | Model loaded. Embedding dimension: 384
2026-08-22 16:08:35 | INFO     | CARIVIX_AI | pipeline:236 | Step 4/5: Creating FAISS index...
2026-08-22 16:08:35 | INFO     | CARIVIX_AI | vector_store:134 | FAISS index created. Type: L2, Dimension: 384, Vectors: 12
2026-08-22 16:08:35 | INFO     | CARIVIX_AI | pipeline:240 | Step 5/5: Saving index to 'D:\CARIVIX\CARIVIX AI\CARIVIX_AI_Model_Training\data\vector_store'...
2026-08-22 16:08:35 | INFO     | CARIVIX_AI | vector_store:183 | Index saved. FAISS: D:\CARIVIX\CARIVIX AI\CARIVIX_AI_Model_Training\data\vector_store\index.faiss, Metadata: D:\CARIVIX\CARIVIX AI\CARIVIX_AI_Model_Training\data\vector_store\index.pkl (vectors: 12, dimension: 384)
2026-08-22 16:08:35 | INFO     | CARIVIX_AI | pipeline:265 | ============================================================
2026-08-22 16:08:35 | INFO     | CARIVIX_AI | pipeline:266 |   INDEXING COMPLETE
2026-08-22 16:08:35 | INFO     | CARIVIX_AI | pipeline:267 |   Documents: 2 | Chunks: 12 | Embeddings: 12 | Vectors: 12
2026-08-22 16:08:35 | INFO     | CARIVIX_AI | pipeline:270 |   Time: 7.22 seconds
2026-08-22 16:08:35 | INFO     | CARIVIX_AI | pipeline:271 | ============================================================
2026-08-22 16:08:35 | INFO     | CARIVIX_AI | main_rag:567 | ======================================================================
2026-08-22 16:08:35 | INFO     | CARIVIX_AI | main_rag:568 |   RAG PIPELINE COMPLETED
2026-08-22 16:08:35 | INFO     | CARIVIX_AI | main_rag:569 | ======================================================================
